Číslo případu,Datum spáchání,Místo činu,Číslo zákona,Paragraf,Odstavec,Písmeno,Bod,Způsob vyřízení
0014,2023-10-30, v Klimkovicích po ulci Lidické\, zastávka MHD ,361/2000,125c,1,k),,příkazový blok
0015,2023-10-30, v Klimkovicích po ulci Lidické\, zastávka MHD ,361/2000,125c,1,k),,příkazový blok
0022,2023-11-07, v Ostravě po ulici Těžařské ,361/2000,125c,1,f),8,příkazový blok
0022,2023-11-07, v Ostravě po ulici Těžařské ,168/1999,16,2,,,příkazový blok
0247,2023-10-23, v Ostravě na ul. 1. Čs. armádního sboru 1322/2 ,361/2000,125c,1,k),,příkazový blok
0104,2023-12-21, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od centra směr Fifejdy ,361/2000,125c,1,f),5,příkazový blok
0165,2023-12-12, (NOVÁ KAROLINA) ,361/2000,125c,1,k),,příkazový blok
0832,2023-12-06, v Ostravě po parkovišti před prodejnou Kaufland při ul. Grmelova ,361/2000,125c,1,k),,příkazový blok
0833,2023-12-06, v Ostravě po parkovišti před prodejnou Kaufland při ul. Grmelova ,361/2000,125c,1,k),,příkazový blok
0493,2023-11-26, (Tesco) ,361/2000,125c,1,f),11,příkazový blok
0525,2023-12-15,  ,361/2000,125c,1,k),,příkazový blok
0852,2023-08-15, v Ostravě po Rudná ,361/2000,125c,1,f),3,příkazový blok
0768,2023-11-29, (u domu 28. října 1565/88) ,361/2000,125c,1,k),,příkazový blok
0672,2023-11-27,  ,361/2000,125c,1,k),,příkazový blok
0693,2023-11-27,  ,361/2000,125c,1,k),,příkazový blok
0592,2023-11-24, (dvorní část k ul. Francouzská) ,361/2000,125c,1,k),,příkazový blok
0961,2023-12-21, v Ostravě na ulici Porubská ve směru jízdy od ulice Dělnická k ulici Hlavní třída ,361/2000,125c,1,f),6,příkazový blok
1001,2024-01-07, v Ostravě na ulici Rudná ve směru jízdy od ulice Fryštácká k ulici Šenovská ,361/2000,125c,1,k),,příkazový blok
1000,2023-11-27, na ulici Brušperská x Zámecká poblíž č.p.764 ,361/2000,125c,1,f),8,příkazový blok
